Concept,x,y,dragStart,dragStop,oldX,oldY
Baum,856.0,250.0,72045,73414,922.0,312.0
Fahrrad,454.0,426.0,80410,82665,453.0,378.0
Erde,747.0,298.0,84425,85358,749.0,273.0
Baum,831.0,240.0,85759,86452,856.0,250.0
Photosynthese,857.0,566.0,1715,2103,56.0,52.0
Laub,830.0,212.0,2866,3316,52.0,49.0
Physik,564.0,228.0,3890,4151,48.0,46.0
Schule,336.0,476.0,4765,4984,44.0,43.0
Infrastruktur,406.0,413.0,5698,6018,40.0,40.0
Schule,492.0,366.0,6447,7599,336.0,476.0
Infrastruktur,403.0,438.0,9248,9451,406.0,413.0
Infrastruktur,409.0,416.0,9928,10563,403.0,438.0
Infrastruktur,398.0,410.0,11532,12396,409.0,416.0
Physik,585.0,294.0,13027,14571,564.0,228.0
Photosynthese,918.0,154.0,16733,17737,857.0,566.0
Laub,756.0,206.0,18714,21303,830.0,212.0
Photosynthese,842.0,146.0,21694,22320,918.0,154.0
Infrastruktur,1058.0,559.0,1402,1684,56.0,52.0
Ast,1267.0,185.0,2467,2762,52.0,49.0
Lehrer,761.0,424.0,4005,4222,48.0,46.0
Laub,220.0,383.0,4800,5021,44.0,43.0
Fahrrad,761.0,336.0,7361,8904,40.0,40.0
Infrastruktur,899.0,375.0,11967,16489,1058.0,559.0
Ast,353.0,444.0,17434,19272,1267.0,185.0
Laub,590.0,186.0,24869,26835,220.0,383.0
Ast,512.0,123.0,27971,29638,353.0,444.0
Infrastruktur,903.0,374.0,35651,38089,899.0,375.0
Lehrer,784.0,423.0,41768,44308,761.0,424.0
Infrastruktur,893.0,363.0,45102,45640,903.0,374.0
Fahrrad,729.0,319.0,49435,50089,761.0,336.0
Lehrer,796.0,396.0,50636,51265,784.0,423.0
Infrastruktur,870.0,354.0,51728,54718,893.0,363.0
Lehrer,755.0,407.0,55120,56072,796.0,396.0
Infrastruktur,853.0,355.0,56435,56766,870.0,354.0
Erde,893.0,412.0,1468,1853,56.0,52.0
Laub,958.0,268.0,2401,3204,52.0,49.0
Lehrer,669.0,234.0,3786,4157,48.0,46.0
Baum,598.0,534.0,4801,5091,44.0,43.0
Schule,798.0,586.0,5686,6579,40.0,40.0
Laub,491.0,458.0,11387,12938,958.0,268.0
Schule,802.0,146.0,15235,15974,798.0,586.0
Lehrer,695.0,138.0,16420,17073,669.0,234.0
Erde,706.0,354.0,17769,18423,893.0,412.0
Baum,764.0,601.0,19153,19703,598.0,534.0
Laub,654.0,593.0,20186,22352,491.0,458.0
Lehrer,643.0,215.0,23003,23857,695.0,138.0
Lehrer,660.0,151.0,24461,25472,643.0,215.0
Schule,769.0,152.0,25703,26572,802.0,146.0
Erde,706.0,365.0,31602,32025,706.0,354.0
Laub,817.0,342.0,1141,1505,56.0,52.0
Ast,513.0,127.0,2225,2574,52.0,49.0
Schule,480.0,423.0,3073,3409,48.0,46.0
Lehrer,880.0,544.0,4009,4419,44.0,43.0
Physik,567.0,578.0,5056,5991,40.0,40.0
Schule,461.0,576.0,7372,9792,480.0,423.0
Lehrer,515.0,491.0,10357,11738,880.0,544.0
Lehrer,553.0,305.0,15632,16139,515.0,491.0
Schule,491.0,399.0,16632,17424,461.0,576.0
Physik,592.0,401.0,17853,18955,567.0,578.0
Laub,788.0,560.0,20284,23187,817.0,342.0
Ast,888.0,643.0,23934,27888,513.0,127.0
Laub,826.0,561.0,30382,31525,788.0,560.0
Physik,629.0,434.0,32049,32836,592.0,401.0
Schule,524.0,389.0,33734,34719,491.0,399.0
Lehrer,620.0,312.0,35148,35887,553.0,305.0
Physik,627.0,398.0,36548,38554,629.0,434.0
Lehrer,554.0,303.0,39863,41670,620.0,312.0
Physik,653.0,405.0,42316,44756,627.0,398.0
Laub,844.0,552.0,45397,46720,826.0,561.0
Ast,927.0,612.0,47116,48336,888.0,643.0
Laub,897.0,578.0,50865,51602,844.0,552.0
Ast,1009.0,627.0,52950,53537,927.0,612.0
Laub,929.0,595.0,53917,54203,897.0,578.0
Ast,1027.0,645.0,54597,55068,1009.0,627.0
Fahrrad,679.0,399.0,1217,1508,56.0,52.0
Ast,705.0,205.0,2034,2324,52.0,49.0
Photosynthese,261.0,341.0,2847,3040,48.0,46.0
Laub,443.0,230.0,3665,3937,44.0,43.0
Infrastruktur,863.0,437.0,4582,5869,40.0,40.0
Laub,589.0,202.0,14898,15655,443.0,230.0
Photosynthese,481.0,249.0,16349,18668,261.0,341.0
Fahrrad,897.0,627.0,20549,21520,679.0,399.0
Infrastruktur,1054.0,624.0,21917,24701,863.0,437.0
Fahrrad,858.0,659.0,26333,26819,897.0,627.0
Ast,750.0,240.0,31884,32774,705.0,205.0
Laub,708.0,151.0,33197,34203,589.0,202.0
Photosynthese,617.0,77.0,34715,36336,481.0,249.0
Laub,677.0,146.0,37234,37621,708.0,151.0
Ast,751.0,209.0,37981,38450,750.0,240.0
Laub,692.0,161.0,38781,39486,677.0,146.0
Ast,767.0,231.0,39799,40520,751.0,209.0
Fahrrad,1004.0,691.0,42601,43993,858.0,659.0
Infrastruktur,1117.0,668.0,44298,45202,1054.0,624.0
Fahrrad,464.0,571.0,46550,47193,1004.0,691.0
Laub,468.0,442.0,47831,48752,692.0,161.0
Laub,578.0,298.0,51050,52984,468.0,442.0
Ast,692.0,298.0,53448,54904,767.0,231.0
Infrastruktur,664.0,638.0,55666,58318,1117.0,668.0
Fahrrad,573.0,573.0,58732,61021,464.0,571.0
Ast,685.0,232.0,61501,62255,692.0,298.0
Photosynthese,449.0,194.0,63315,67884,617.0,77.0
Ast,872.0,431.0,1644,2035,56.0,52.0
Baum,704.0,152.0,2607,2897,52.0,49.0
Erde,587.0,615.0,3458,3715,48.0,46.0
Laub,636.0,377.0,4275,4540,44.0,43.0
Photosynthese,481.0,254.0,5242,5698,40.0,40.0
Erde,702.0,514.0,10442,10797,587.0,615.0
Laub,591.0,269.0,11277,11697,636.0,377.0
Ast,814.0,514.0,12344,13428,872.0,431.0
Ast,705.0,262.0,15526,16681,814.0,514.0
Baum,707.0,174.0,17641,18411,704.0,152.0
Laub,600.0,223.0,18858,19695,591.0,269.0
Photosynthese,430.0,210.0,20059,21864,481.0,254.0
Laub,603.0,219.0,22377,23778,600.0,223.0
Photosynthese,428.0,197.0,24192,24812,430.0,210.0
Erde,620.0,512.0,26293,27415,702.0,514.0
Baum,712.0,314.0,28074,28578,707.0,174.0
Ast,708.0,165.0,28874,29662,705.0,262.0
Baum,707.0,259.0,30042,32680,712.0,314.0
Erde,683.0,512.0,33841,36183,620.0,512.0
Erde,876.0,221.0,1511,1933,56.0,52.0
Physik,756.0,318.0,2524,2781,52.0,49.0
Ast,531.0,445.0,10543,11166,44.0,43.0
Fahrrad,498.0,183.0,12106,12415,40.0,40.0
Erde,963.0,169.0,25393,26813,876.0,221.0
Physik,810.0,353.0,27340,28911,756.0,318.0
Ast,1026.0,80.0,42257,45880,531.0,445.0
Fahrrad,445.0,173.0,52191,54081,498.0,183.0
Physik,600.0,317.0,54826,56314,810.0,353.0
Erde,656.0,224.0,56778,57811,963.0,169.0
Erde,656.0,224.0,58208,62795,600.0,317.0
Erde,747.0,249.0,63058,64762,656.0,224.0
Erde,602.0,398.0,65427,67199,747.0,249.0
Physik,658.0,307.0,67524,68580,638.0,227.0
Ast,568.0,593.0,69993,72083,1026.0,80.0
Fahrrad,438.0,172.0,91080,91432,445.0,173.0
Fahrrad,438.0,172.0,91578,91665,438.0,172.0
Ast,558.0,608.0,95027,95264,568.0,593.0
Infrastruktur,902.0,836.0,0,0,902.0,836.0
Fahrrad,921.0,333.0,1629,2069,56.0,52.0
Infrastruktur,890.0,132.0,2629,3152,52.0,49.0
Lehrer,746.0,510.0,3699,4285,48.0,46.0
Schule,642.0,156.0,4798,5204,44.0,43.0
Photosynthese,261.0,438.0,5815,6181,40.0,40.0
Schule,628.0,506.0,12045,13721,642.0,156.0
Fahrrad,959.0,474.0,14214,15635,921.0,333.0
Infrastruktur,678.0,616.0,16545,17999,890.0,132.0
Lehrer,512.0,497.0,18347,19451,746.0,510.0
Infrastruktur,817.0,674.0,19798,21833,678.0,616.0
Photosynthese,317.0,281.0,23981,28717,261.0,438.0
Infrastruktur,819.0,699.0,29965,30485,817.0,674.0
Infrastruktur,819.0,699.0,30582,30668,819.0,699.0
Infrastruktur,778.0,636.0,30815,32749,819.0,699.0
Baum,1314.0,141.0,1349,1855,56.0,52.0
Photosynthese,749.0,283.0,2446,2835,52.0,49.0
Fahrrad,558.0,410.0,3346,3887,48.0,46.0
Erde,518.0,276.0,4481,5104,44.0,43.0
Schule,818.0,489.0,5581,6252,40.0,40.0
Baum,948.0,497.0,10215,12071,1314.0,141.0
Baum,1004.0,431.0,12579,13167,948.0,497.0
Photosynthese,1212.0,321.0,13947,14785,749.0,283.0
Fahrrad,649.0,541.0,15415,16819,558.0,410.0
Erde,1241.0,531.0,17529,19300,518.0,276.0
Schule,879.0,442.0,20315,21652,818.0,489.0
Fahrrad,601.0,544.0,22779,23053,649.0,541.0
Fahrrad,720.0,611.0,23980,24284,601.0,544.0
Fahrrad,652.0,543.0,25348,28550,720.0,611.0
Erde,1136.0,671.0,29147,29950,1241.0,531.0
Photosynthese,1127.0,170.0,1220,1624,56.0,52.0
Erde,842.0,192.0,2421,2862,52.0,49.0
Lehrer,463.0,451.0,3588,3762,48.0,46.0
Baum,1018.0,469.0,4969,5360,44.0,43.0
Infrastruktur,510.0,245.0,8455,9213,40.0,40.0
Erde,747.0,244.0,9739,11791,842.0,192.0
Photosynthese,895.0,152.0,12487,14092,1127.0,170.0
Baum,1018.0,469.0,14823,14904,1018.0,469.0
Photosynthese,1150.0,124.0,15369,15559,895.0,152.0
Baum,879.0,147.0,16070,16941,1018.0,469.0
Photosynthese,993.0,69.0,17821,18459,1150.0,124.0
Baum,885.0,150.0,18822,20122,879.0,147.0
Photosynthese,977.0,86.0,20687,21691,993.0,69.0
Lehrer,805.0,589.0,23605,24261,463.0,451.0
Infrastruktur,555.0,302.0,24902,26043,510.0,245.0
Lehrer,945.0,439.0,26603,30209,805.0,589.0
Infrastruktur,518.0,318.0,36987,37508,555.0,302.0
Laub,1258.0,121.0,3394,4744,56.0,52.0
Baum,777.0,259.0,5674,6413,52.0,49.0
Laub,1644.0,75.0,8526,9460,1258.0,121.0
Infrastruktur,46.0,449.0,10558,10964,48.0,46.0
Photosynthese,512.0,35.0,11759,12249,44.0,43.0
Fahrrad,730.0,605.0,12943,13932,40.0,40.0
Baum,832.0,337.0,19094,20645,777.0,259.0
Laub,949.0,338.0,22993,25466,1644.0,75.0
Photosynthese,879.0,168.0,26409,28367,512.0,35.0
Fahrrad,325.0,616.0,29390,29961,730.0,605.0
Infrastruktur,4.0,5.0,31258,34195,46.0,449.0
Fahrrad,5.0,90.0,35157,39083,325.0,616.0
Baum,1766.0,704.0,40241,42631,832.0,337.0
Laub,760.0,468.0,43410,43781,949.0,338.0
Photosynthese,1775.0,439.0,44274,47246,879.0,168.0
Laub,1659.0,705.0,48010,53098,760.0,468.0
Photosynthese,1716.0,438.0,53744,54844,1775.0,439.0
Baum,1481.0,344.0,2892,3381,56.0,52.0
Infrastruktur,616.0,684.0,4093,4552,52.0,49.0
Fahrrad,614.0,598.0,5328,7987,48.0,46.0
Erde,1105.0,186.0,8809,9515,44.0,43.0
Laub,1482.0,282.0,10110,11665,40.0,40.0
Erde,982.0,280.0,12108,13362,1105.0,186.0
Laub,1526.0,129.0,14393,15131,1482.0,282.0
Baum,1529.0,215.0,15644,17904,1481.0,344.0
Baum,1278.0,184.0,1831,2169,56.0,52.0
Fahrrad,689.0,667.0,2765,3140,52.0,49.0
Laub,340.0,489.0,4132,4555,48.0,46.0
Physik,783.0,140.0,5367,5854,44.0,43.0
Laub,36.0,133.0,8048,9870,340.0,489.0
Baum,36.0,222.0,10633,13844,1278.0,184.0
Fahrrad,844.0,470.0,14966,15509,689.0,667.0
Physik,1699.0,59.0,16033,17251,783.0,140.0
Fahrrad,1454.0,657.0,18732,19921,844.0,470.0
Physik,1768.0,19.0,20633,21205,1699.0,59.0
Fahrrad,941.0,710.0,21980,23954,1454.0,657.0
Photosynthese,40.0,40.0,0,0,40.0,40.0
Erde,1141.0,198.0,1544,1947,56.0,52.0
Infrastruktur,793.0,362.0,4061,4506,52.0,49.0
Lehrer,280.0,538.0,5197,5572,48.0,46.0
Laub,586.0,61.0,6093,6515,44.0,43.0
Lehrer,43.0,135.0,7728,9551,280.0,538.0
Laub,533.0,606.0,10564,11334,586.0,61.0
Infrastruktur,879.0,42.0,12061,14516,793.0,362.0
Erde,500.0,234.0,15047,18999,1141.0,198.0
Physik,40.0,40.0,0,0,40.0,40.0
Erde,1351.0,159.0,1719,2190,56.0,52.0
Schule,675.0,412.0,2701,3173,52.0,49.0
Physik,569.0,412.0,3769,5537,48.0,46.0
Lehrer,674.0,498.0,6083,10036,44.0,43.0
Infrastruktur,991.0,33.0,10616,14686,40.0,40.0
Erde,1198.0,319.0,15600,16689,1351.0,159.0
Laub,854.0,317.0,1556,2093,56.0,52.0
Photosynthese,618.0,442.0,2757,3979,52.0,49.0
Erde,503.0,197.0,4608,5368,48.0,46.0
Ast,305.0,405.0,6306,6928,44.0,43.0
Fahrrad,6.0,1.0,7506,8631,40.0,40.0
Laub,415.0,407.0,9275,11049,854.0,317.0
Photosynthese,508.0,588.0,11606,13813,618.0,442.0
Fahrrad,1410.0,89.0,14525,15963,6.0,1.0
Physik,840.0,131.0,1497,1772,56.0,52.0
Lehrer,737.0,330.0,2598,2920,52.0,49.0
Fahrrad,587.0,564.0,3515,3940,48.0,46.0
Baum,98.0,323.0,4579,4970,44.0,43.0
Baum,43.0,130.0,5747,7022,98.0,323.0
Lehrer,779.0,72.0,8265,9616,737.0,330.0
Physik,780.0,171.0,10046,11284,840.0,131.0
Fahrrad,1638.0,36.0,11881,13986,587.0,564.0
Laub,40.0,40.0,0,0,40.0,40.0
Infrastruktur,609.0,66.0,2349,2891,56.0,52.0
Schule,758.0,367.0,3496,3938,52.0,49.0
Lehrer,316.0,694.0,4413,4754,48.0,46.0
Ast,789.0,714.0,5597,6953,44.0,43.0
Lehrer,21.0,239.0,7499,8782,316.0,694.0
Schule,209.0,269.0,9697,10588,758.0,367.0
Schule,129.0,239.0,11382,12253,209.0,269.0
Infrastruktur,237.0,653.0,12932,15300,609.0,66.0
Ast,753.0,64.0,16081,17053,789.0,714.0
Physik,40.0,40.0,0,0,40.0,40.0
Photosynthese,573.0,119.0,1553,1886,56.0,52.0
Baum,437.0,510.0,2466,2772,52.0,49.0
Schule,29.0,498.0,3300,3593,48.0,46.0
Ast,1024.0,67.0,4167,4789,44.0,43.0
Infrastruktur,947.0,367.0,5485,6624,40.0,40.0
Baum,923.0,65.0,7602,9790,437.0,510.0
Photosynthese,1409.0,45.0,10235,11291,573.0,119.0
Infrastruktur,426.0,383.0,12016,13539,947.0,367.0
Schule,1473.0,395.0,14234,15340,29.0,498.0
Infrastruktur,943.0,606.0,15902,17370,426.0,383.0
Erde,1062.0,126.0,1284,1722,56.0,52.0
Ast,639.0,386.0,2317,2689,52.0,49.0
Schule,146.0,527.0,3248,3604,48.0,46.0
Lehrer,142.0,445.0,4131,6020,44.0,43.0
Photosynthese,1053.0,476.0,7017,8804,40.0,40.0
Erde,253.0,91.0,9298,10353,1062.0,126.0
Ast,932.0,347.0,11000,12104,639.0,386.0
Physik,1189.0,149.0,1664,2021,56.0,52.0
Ast,819.0,319.0,2698,3020,52.0,49.0
Erde,302.0,341.0,3783,4172,40.0,40.0
Baum,51.0,431.0,4650,5101,44.0,43.0
Baum,824.0,401.0,6447,8287,51.0,431.0
Erde,362.0,306.0,8899,9770,302.0,341.0
Photosynthese,414.0,320.0,11380,12686,48.0,46.0
Erde,231.0,29.0,13249,15533,362.0,306.0
Baum,218.0,49.0,4463,6963,56.0,52.0
Laub,235.0,121.0,7576,8632,52.0,49.0
Photosynthese,124.0,150.0,9228,9834,48.0,46.0
Fahrrad,35.0,141.0,10662,11328,44.0,43.0
Baum,674.0,22.0,14945,17013,218.0,49.0
Laub,680.0,284.0,17760,23731,235.0,121.0
Photosynthese,685.0,375.0,24628,28697,124.0,150.0
Baum,428.0,30.0,33461,37702,674.0,22.0
Infrastruktur,152.0,42.0,39929,40635,40.0,40.0
Laub,511.0,172.0,47244,48765,680.0,284.0
Photosynthese,547.0,285.0,49662,50433,685.0,375.0
Schule,836.0,66.0,1836,2573,56.0,52.0
Photosynthese,334.0,167.0,3333,3755,52.0,49.0
Lehrer,836.0,151.0,4500,6972,48.0,46.0
Ast,84.0,201.0,8667,9187,44.0,43.0
Physik,517.0,112.0,10985,15339,40.0,40.0
Photosynthese,506.0,216.0,17219,18986,334.0,167.0
Ast,426.0,307.0,20418,24287,84.0,201.0
Physik,906.0,101.0,2634,3307,56.0,52.0
Laub,366.0,86.0,4620,5080,52.0,49.0
Schule,192.0,235.0,5587,5925,48.0,46.0
Baum,33.0,177.0,6569,7022,44.0,43.0
Schule,1062.0,26.0,16850,18040,192.0,235.0
Baum,298.0,38.0,20470,21454,33.0,177.0
Ast,249.0,126.0,23252,24908,40.0,40.0
Laub,189.0,225.0,25554,28022,366.0,86.0
Physik,659.0,32.0,29753,33388,906.0,101.0
Schule,791.0,26.0,34103,36409,1062.0,26.0
Erde,1484.0,34.0,1604,1959,56.0,52.0
Lehrer,881.0,61.0,3668,3994,52.0,49.0
Schule,521.0,274.0,4737,5074,40.0,40.0
Infrastruktur,253.0,306.0,6036,6459,48.0,46.0
Erde,691.0,30.0,9335,11273,1484.0,34.0
Schule,914.0,147.0,12454,13709,521.0,274.0
Infrastruktur,686.0,173.0,14752,16457,253.0,306.0
Baum,545.0,94.0,18569,20174,44.0,43.0
Schule,827.0,105.0,21253,22040,914.0,147.0
Lehrer,963.0,141.0,22571,24505,881.0,61.0
Infrastruktur,1332.0,236.0,1723,2111,56.0,52.0
Ast,715.0,125.0,2823,3231,52.0,49.0
Laub,345.0,74.0,3774,4114,48.0,46.0
Schule,196.0,63.0,4658,4978,44.0,43.0
Lehrer,115.0,259.0,5475,5882,40.0,40.0
Schule,127.0,169.0,9208,11164,196.0,63.0
Infrastruktur,211.0,57.0,12973,14662,1332.0,236.0
Laub,826.0,215.0,15760,17176,345.0,74.0
Photosynthese,593.0,115.0,1522,1845,56.0,52.0
Erde,346.0,65.0,2319,2595,52.0,49.0
Physik,141.0,62.0,3036,3359,48.0,46.0
Baum,40.0,145.0,3836,4333,44.0,43.0
Physik,14.0,306.0,6205,8460,141.0,62.0
Lehrer,22.0,208.0,9671,12339,40.0,40.0
Baum,469.0,148.0,14204,15259,40.0,145.0
Photosynthese,579.0,228.0,15772,16771,593.0,115.0
Erde,586.0,97.0,1754,1943,56.0,52.0
Ast,247.0,48.0,2684,2955,52.0,49.0
Infrastruktur,258.0,196.0,3451,3725,48.0,46.0
Schule,82.0,151.0,4268,4758,44.0,43.0
Infrastruktur,406.0,38.0,7967,8473,258.0,196.0
Fahrrad,263.0,173.0,9218,10593,40.0,40.0
Erde,506.0,-41.0,11404,13721,586.0,97.0
Infrastruktur,383.0,75.0,14335,14638,406.0,38.0
Erde,490.0,6.0,15352,16807,506.0,-41.0
Infrastruktur,377.0,94.0,17389,18003,383.0,75.0
Fahrrad,211.0,228.0,18818,20039,263.0,173.0
Schule,494.0,229.0,20820,23322,82.0,151.0
Ast,291.0,204.0,24168,25561,247.0,48.0
Ast,1131.0,38.0,25736,27854,291.0,204.0
Erde,621.0,70.0,1853,2209,56.0,52.0
Physik,333.0,58.0,2853,3144,52.0,49.0
Photosynthese,253.0,72.0,3570,3790,48.0,46.0
Laub,73.0,115.0,4238,4426,44.0,43.0
Infrastruktur,494.0,9.0,9354,11313,40.0,40.0
Infrastruktur,484.0,175.0,12537,13859,494.0,9.0
Physik,372.0,283.0,16006,17222,333.0,58.0
Laub,948.0,296.0,18154,19960,73.0,115.0
Photosynthese,1077.0,391.0,20939,23792,253.0,72.0
Photosynthese,763.0,155.0,1403,1592,56.0,52.0
Erde,339.0,76.0,2237,2541,52.0,49.0
Fahrrad,98.0,236.0,3037,3329,48.0,46.0
Ast,161.0,154.0,3988,4342,44.0,43.0
Erde,667.0,62.0,7070,7626,339.0,76.0
Schule,353.0,211.0,9005,9908,40.0,40.0
Ast,408.0,157.0,11219,11577,161.0,154.0
Photosynthese,923.0,245.0,12104,12391,763.0,155.0
Ast,1110.0,308.0,13488,16431,408.0,157.0
Photosynthese,1225.0,383.0,16936,18174,923.0,245.0
Photosynthese,877.0,339.0,20439,23406,1225.0,383.0
Fahrrad,340.0,64.0,24555,27139,98.0,236.0
Photosynthese,567.0,95.0,2988,3376,56.0,52.0
Lehrer,316.0,83.0,4689,5045,52.0,49.0
Fahrrad,411.0,285.0,5524,5860,48.0,46.0
Baum,66.0,204.0,6940,7446,44.0,43.0
Infrastruktur,735.0,19.0,16040,18791,40.0,40.0
Photosynthese,1189.0,196.0,19705,20078,567.0,95.0
Fahrrad,796.0,287.0,21157,21796,411.0,285.0
Baum,1082.0,113.0,24238,26956,66.0,204.0
Lehrer,530.0,196.0,28688,30910,316.0,83.0
Fahrrad,771.0,173.0,31557,33808,796.0,287.0
Physik,608.0,180.0,1489,1863,56.0,52.0
Lehrer,363.0,105.0,2423,2693,52.0,49.0
Laub,165.0,81.0,3056,3326,48.0,46.0
Baum,44.0,43.0,3056,4141,48.0,46.0
Baum,76.0,158.0,4408,4957,44.0,43.0
Lehrer,688.0,14.0,9441,10597,363.0,105.0
Lehrer,476.0,69.0,11555,12145,688.0,14.0
Physik,436.0,173.0,12656,14310,608.0,180.0
Baum,1093.0,114.0,15855,16561,76.0,158.0
Laub,1075.0,203.0,17990,19647,165.0,81.0
Photosynthese,765.0,245.0,20921,22959,40.0,40.0
Lehrer,316.0,56.0,25521,26230,476.0,69.0
