SessionID,ConceptA,Rating,Duration,ConceptB,qstnr
137ee348-a5aa-4085-9373-e7f1489b1167,tree trunk,7,27774,mineral,0
137ee348-a5aa-4085-9373-e7f1489b1167,branch,3,7834,street,1
137ee348-a5aa-4085-9373-e7f1489b1167,forest,2,5300,gas,2
137ee348-a5aa-4085-9373-e7f1489b1167,water,2,5401,infrastructure,3
137ee348-a5aa-4085-9373-e7f1489b1167,chemistry,7,4928,energy,4
137ee348-a5aa-4085-9373-e7f1489b1167,tree,10,3894,photosynthesis,5
137ee348-a5aa-4085-9373-e7f1489b1167,cellulose,4,5239,air,6
137ee348-a5aa-4085-9373-e7f1489b1167,city,10,6817,school,7
226eedc1-d3f6-4ff8-ae16-2b440233f232,air,1,28478,hospital,0
226eedc1-d3f6-4ff8-ae16-2b440233f232,tree,10,3055,leaf,1
226eedc1-d3f6-4ff8-ae16-2b440233f232,roof,3,70331,street,2
226eedc1-d3f6-4ff8-ae16-2b440233f232,energy,2,6298,mineral,3
226eedc1-d3f6-4ff8-ae16-2b440233f232,teacher,1,3910,forest,4
226eedc1-d3f6-4ff8-ae16-2b440233f232,tree trunk,10,2827,branch,5
226eedc1-d3f6-4ff8-ae16-2b440233f232,culture,7,5587,university,6
226eedc1-d3f6-4ff8-ae16-2b440233f232,city,5,4508,school,7
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,infrastructure,4,20918,water,0
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,leaf,10,5042,chemistry,1
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,teacher,1,7229,branch,2
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,bush,10,2596,park,3
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,cellulose,1,4758,street,4
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,stone,4,4804,school,5
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,plant,10,3018,mineral,6
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,tree trunk,10,6356,photosynthesis,7
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,infrastructure,5,31371,street,0
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,park,5,3608,forest,1
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,tree trunk,2,7580,city,2
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,wall,1,18308,school,3
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,air,3,6088,cellulose,4
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,chemistry,1,2927,bush,5
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,university,6,6250,culture,6
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,house,6,9800,tree,7
bb25da4f-802e-431d-8682-1100c2fda775,plant,2,23398,city,0
bb25da4f-802e-431d-8682-1100c2fda775,university,1,4595,hospital,1
bb25da4f-802e-431d-8682-1100c2fda775,school,1,11421,forest,2
bb25da4f-802e-431d-8682-1100c2fda775,tree trunk,4,3554,leaf,3
bb25da4f-802e-431d-8682-1100c2fda775,bush,3,3839,house,4
bb25da4f-802e-431d-8682-1100c2fda775,photosynthesis,3,3946,chemistry,5
bb25da4f-802e-431d-8682-1100c2fda775,tree,2,2870,culture,6
bb25da4f-802e-431d-8682-1100c2fda775,roof,1,5686,air,7
e5e518a6-5579-4aee-b043-ee8a758d7d2e,energy,3,42697,school,0
e5e518a6-5579-4aee-b043-ee8a758d7d2e,culture,3,17205,teacher,1
e5e518a6-5579-4aee-b043-ee8a758d7d2e,city,5,12733,gas,2
e5e518a6-5579-4aee-b043-ee8a758d7d2e,forest,6,27176,photosynthesis,3
e5e518a6-5579-4aee-b043-ee8a758d7d2e,building,7,6930,street,4
e5e518a6-5579-4aee-b043-ee8a758d7d2e,tree trunk,3,8096,stone,5
e5e518a6-5579-4aee-b043-ee8a758d7d2e,mineral,2,8602,branch,6
e5e518a6-5579-4aee-b043-ee8a758d7d2e,water,6,10427,roof,7
2286e5ef-b336-4aac-b718-000183576ac7,building,7,10877,infrastructure,0
2286e5ef-b336-4aac-b718-000183576ac7,stone,5,3330,culture,1
2286e5ef-b336-4aac-b718-000183576ac7,tree,10,3019,branch,2
2286e5ef-b336-4aac-b718-000183576ac7,photosynthesis,7,3962,cellulose,3
2286e5ef-b336-4aac-b718-000183576ac7,school,3,3284,mineral,4
2286e5ef-b336-4aac-b718-000183576ac7,forest,9,3499,plant,5
2286e5ef-b336-4aac-b718-000183576ac7,roof,6,3973,city,6
2286e5ef-b336-4aac-b718-000183576ac7,tree trunk,1,3543,house,7
ad4d178f-c454-4c22-a1ea-f5571d48e58c,air,10,25504,plant,0
ad4d178f-c454-4c22-a1ea-f5571d48e58c,bush,3,7523,energy,1
ad4d178f-c454-4c22-a1ea-f5571d48e58c,culture,7,7110,university,2
ad4d178f-c454-4c22-a1ea-f5571d48e58c,photosynthesis,3,9909,park,3
ad4d178f-c454-4c22-a1ea-f5571d48e58c,chemistry,1,7483,forest,4
ad4d178f-c454-4c22-a1ea-f5571d48e58c,hospital,7,10034,infrastructure,5
ad4d178f-c454-4c22-a1ea-f5571d48e58c,street,3,7465,branch,6
ad4d178f-c454-4c22-a1ea-f5571d48e58c,stone,10,23191,city,7
30c1b22c-3acb-46f2-a254-a11ac2538251,wall,2,8783,branch,0
30c1b22c-3acb-46f2-a254-a11ac2538251,building,9,6416,stone,2
30c1b22c-3acb-46f2-a254-a11ac2538251,university,5,6401,cellulose,3
30c1b22c-3acb-46f2-a254-a11ac2538251,chemistry,2,4214,park,4
30c1b22c-3acb-46f2-a254-a11ac2538251,infrastructure,9,4195,city,5
30c1b22c-3acb-46f2-a254-a11ac2538251,gas,4,12044,leaf,6
30c1b22c-3acb-46f2-a254-a11ac2538251,bush,7,3783,forest,7
30c1b22c-3acb-46f2-a254-a11ac2538251,street,3,5991,teacher,1
f2739032-1dc1-4006-a7e6-d809b0813ef9,bush,3,4998,tree trunk,0
f2739032-1dc1-4006-a7e6-d809b0813ef9,gas,5,3985,house,1
f2739032-1dc1-4006-a7e6-d809b0813ef9,street,5,3580,school,2
f2739032-1dc1-4006-a7e6-d809b0813ef9,hospital,5,4466,park,3
f2739032-1dc1-4006-a7e6-d809b0813ef9,forest,8,3502,leaf,4
f2739032-1dc1-4006-a7e6-d809b0813ef9,cellulose,6,7361,air,5
f2739032-1dc1-4006-a7e6-d809b0813ef9,university,5,2386,wall,6
f2739032-1dc1-4006-a7e6-d809b0813ef9,culture,3,4193,photosynthesis,7
1c7da44e-1ffd-443e-90c2-961668d8511a,infrastructure,5,8996,energy,0
1c7da44e-1ffd-443e-90c2-961668d8511a,branch,7,4100,plant,1
1c7da44e-1ffd-443e-90c2-961668d8511a,gas,2,2856,hospital,2
1c7da44e-1ffd-443e-90c2-961668d8511a,school,5,3227,roof,3
1c7da44e-1ffd-443e-90c2-961668d8511a,park,2,2765,mineral,4
1c7da44e-1ffd-443e-90c2-961668d8511a,street,5,2961,university,5
1c7da44e-1ffd-443e-90c2-961668d8511a,chemistry,3,2708,building,6
1c7da44e-1ffd-443e-90c2-961668d8511a,culture,3,3225,bush,7
3f230d77-a4e3-48f8-995d-8d971a8bea38,city,1,5579,air,1
3f230d77-a4e3-48f8-995d-8d971a8bea38,teacher,1,4756,energy,2
3f230d77-a4e3-48f8-995d-8d971a8bea38,building,1,4708,photosynthesis,3
3f230d77-a4e3-48f8-995d-8d971a8bea38,plant,7,3877,culture,4
3f230d77-a4e3-48f8-995d-8d971a8bea38,stone,3,8033,tree,5
3f230d77-a4e3-48f8-995d-8d971a8bea38,infrastructure,7,5326,roof,6
3f230d77-a4e3-48f8-995d-8d971a8bea38,water,1,3779,university,7
3f230d77-a4e3-48f8-995d-8d971a8bea38,leaf,10,6586,branch,0
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,plant,9,6348,cellulose,0
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,leaf,3,7406,city,1
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,building,9,5835,school,2
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,hospital,4,3474,street,3
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,house,3,3872,water,4
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,tree trunk,4,8368,mineral,5
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,chemistry,9,4062,gas,6
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,wall,2,8476,teacher,7
1891bce9-c85a-42e4-b3d9-64d611340a09,photosynthesis,1,9099,school,0
1891bce9-c85a-42e4-b3d9-64d611340a09,chemistry,3,8479,house,1
1891bce9-c85a-42e4-b3d9-64d611340a09,gas,10,6971,air,2
1891bce9-c85a-42e4-b3d9-64d611340a09,energy,7,5142,building,3
1891bce9-c85a-42e4-b3d9-64d611340a09,forest,3,5142,cellulose,4
1891bce9-c85a-42e4-b3d9-64d611340a09,hospital,8,5327,water,5
1891bce9-c85a-42e4-b3d9-64d611340a09,roof,8,5618,tree,6
1891bce9-c85a-42e4-b3d9-64d611340a09,tree trunk,8,4677,university,7
9c2d277f-05b4-4648-b82a-f3ec914673fe,roof,6,5022,tree,0
9c2d277f-05b4-4648-b82a-f3ec914673fe,street,2,6023,mineral,2
9c2d277f-05b4-4648-b82a-f3ec914673fe,university,1,4967,tree trunk,3
9c2d277f-05b4-4648-b82a-f3ec914673fe,chemistry,2,5606,bush,4
9c2d277f-05b4-4648-b82a-f3ec914673fe,forest,10,4000,leaf,5
9c2d277f-05b4-4648-b82a-f3ec914673fe,hospital,10,6135,infrastructure,6
9c2d277f-05b4-4648-b82a-f3ec914673fe,air,2,3437,stone,7
9c2d277f-05b4-4648-b82a-f3ec914673fe,park,9,3460,culture,1
97e2e26f-159b-46f0-8633-14c9288ce20f,street,3,5497,tree,0
97e2e26f-159b-46f0-8633-14c9288ce20f,tree trunk,4,7889,chemistry,1
97e2e26f-159b-46f0-8633-14c9288ce20f,wall,2,4288,bush,2
97e2e26f-159b-46f0-8633-14c9288ce20f,university,1,5097,branch,3
97e2e26f-159b-46f0-8633-14c9288ce20f,roof,10,4063,house,4
97e2e26f-159b-46f0-8633-14c9288ce20f,teacher,1,8162,stone,5
97e2e26f-159b-46f0-8633-14c9288ce20f,city,5,4679,hospital,6
97e2e26f-159b-46f0-8633-14c9288ce20f,energy,7,6944,air,7
35620664-dcf0-4c98-a8e2-641796b50481,building,4,11488,bush,0
35620664-dcf0-4c98-a8e2-641796b50481,infrastructure,8,8286,hospital,1
35620664-dcf0-4c98-a8e2-641796b50481,chemistry,10,4773,park,2
35620664-dcf0-4c98-a8e2-641796b50481,teacher,5,9032,gas,3
35620664-dcf0-4c98-a8e2-641796b50481,air,10,3874,leaf,4
35620664-dcf0-4c98-a8e2-641796b50481,school,10,4060,house,6
35620664-dcf0-4c98-a8e2-641796b50481,water,5,4003,roof,7
35620664-dcf0-4c98-a8e2-641796b50481,mineral,9,8724,culture,5
514f545b-c172-4983-ac0a-35f859d0ba6f,air,3,8337,house,0
514f545b-c172-4983-ac0a-35f859d0ba6f,city,4,4248,forest,1
514f545b-c172-4983-ac0a-35f859d0ba6f,photosynthesis,5,8045,tree trunk,2
514f545b-c172-4983-ac0a-35f859d0ba6f,gas,4,6321,hospital,3
514f545b-c172-4983-ac0a-35f859d0ba6f,water,4,5415,leaf,4
514f545b-c172-4983-ac0a-35f859d0ba6f,teacher,2,4262,roof,5
514f545b-c172-4983-ac0a-35f859d0ba6f,school,3,4073,street,6
514f545b-c172-4983-ac0a-35f859d0ba6f,stone,3,3983,chemistry,7
55467cb9-59ec-43a1-bc96-9cab621b75a9,teacher,4,5952,building,0
55467cb9-59ec-43a1-bc96-9cab621b75a9,stone,7,4972,leaf,1
55467cb9-59ec-43a1-bc96-9cab621b75a9,wall,1,4057,photosynthesis,2
55467cb9-59ec-43a1-bc96-9cab621b75a9,water,2,7232,school,3
55467cb9-59ec-43a1-bc96-9cab621b75a9,branch,2,6317,culture,4
55467cb9-59ec-43a1-bc96-9cab621b75a9,bush,2,3931,hospital,5
55467cb9-59ec-43a1-bc96-9cab621b75a9,university,3,4868,park,6
55467cb9-59ec-43a1-bc96-9cab621b75a9,street,5,6506,tree,7
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,tree trunk,5,5066,house,0
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,teacher,2,4679,branch,1
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,university,5,4221,forest,3
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,tree,9,4290,school,4
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,infrastructure,10,3784,culture,5
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,roof,7,3934,park,6
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,building,9,3796,stone,7
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,leaf,4,5672,energy,2
81aa933f-f12c-4038-afcf-76ef8e5f3990,hospital,2,7002,gas,0
81aa933f-f12c-4038-afcf-76ef8e5f3990,bush,1,3187,culture,1
81aa933f-f12c-4038-afcf-76ef8e5f3990,energy,6,5808,leaf,2
81aa933f-f12c-4038-afcf-76ef8e5f3990,branch,4,6259,air,3
81aa933f-f12c-4038-afcf-76ef8e5f3990,photosynthesis,10,2908,tree,4
81aa933f-f12c-4038-afcf-76ef8e5f3990,cellulose,10,9345,plant,5
81aa933f-f12c-4038-afcf-76ef8e5f3990,stone,3,3800,roof,6
81aa933f-f12c-4038-afcf-76ef8e5f3990,university,10,3180,building,7
43432c8c-29f9-4484-9ece-a6350ea2b2f6,air,7,6270,leaf,0
43432c8c-29f9-4484-9ece-a6350ea2b2f6,city,10,3766,house,1
43432c8c-29f9-4484-9ece-a6350ea2b2f6,wall,7,4073,school,2
43432c8c-29f9-4484-9ece-a6350ea2b2f6,street,5,6213,energy,3
43432c8c-29f9-4484-9ece-a6350ea2b2f6,water,3,4048,stone,4
43432c8c-29f9-4484-9ece-a6350ea2b2f6,tree,1,3210,mineral,5
43432c8c-29f9-4484-9ece-a6350ea2b2f6,building,10,5362,roof,6
43432c8c-29f9-4484-9ece-a6350ea2b2f6,university,2,3771,plant,7
1c4121b8-9cdb-452b-8646-6384da8b0e22,roof,4,18068,leaf,0
1c4121b8-9cdb-452b-8646-6384da8b0e22,mineral,8,7637,stone,1
1c4121b8-9cdb-452b-8646-6384da8b0e22,bush,2,13767,energy,2
1c4121b8-9cdb-452b-8646-6384da8b0e22,infrastructure,3,8024,photosynthesis,3
1c4121b8-9cdb-452b-8646-6384da8b0e22,building,4,5317,teacher,4
1c4121b8-9cdb-452b-8646-6384da8b0e22,city,6,5746,gas,5
1c4121b8-9cdb-452b-8646-6384da8b0e22,plant,5,6922,street,6
1c4121b8-9cdb-452b-8646-6384da8b0e22,wall,3,18291,tree trunk,7
030e5f75-cf0b-428a-befa-359846267e9c,plant,4,11056,branch,0
030e5f75-cf0b-428a-befa-359846267e9c,tree trunk,4,7474,building,1
030e5f75-cf0b-428a-befa-359846267e9c,leaf,2,6880,chemistry,2
030e5f75-cf0b-428a-befa-359846267e9c,stone,3,30400,cellulose,3
030e5f75-cf0b-428a-befa-359846267e9c,roof,3,6496,tree,4
030e5f75-cf0b-428a-befa-359846267e9c,water,4,7312,university,5
030e5f75-cf0b-428a-befa-359846267e9c,energy,8,4937,city,6
030e5f75-cf0b-428a-befa-359846267e9c,school,5,13946,park,7
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,stone,1,8302,cellulose,0
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,street,6,9856,park,1
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,air,2,4901,mineral,2
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,culture,1,6015,tree,4
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,building,10,4540,wall,5
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,hospital,1,4384,branch,6
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,forest,6,5841,gas,7
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,bush,1,3263,teacher,3
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,city,8,6735,hospital,0
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,building,6,20578,bush,1
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,chemistry,4,6999,cellulose,2
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,tree,8,4987,street,3
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,park,8,5432,infrastructure,4
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,branch,4,3802,house,5
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,photosynthesis,9,5662,gas,6
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,university,5,5176,air,7
58792877-206f-4b1e-a2cd-4efb604c4b9e,building,3,7832,leaf,0
58792877-206f-4b1e-a2cd-4efb604c4b9e,bush,8,5210,infrastructure,1
58792877-206f-4b1e-a2cd-4efb604c4b9e,street,10,3297,gas,2
58792877-206f-4b1e-a2cd-4efb604c4b9e,cellulose,6,9242,tree trunk,3
58792877-206f-4b1e-a2cd-4efb604c4b9e,culture,5,8284,photosynthesis,4
58792877-206f-4b1e-a2cd-4efb604c4b9e,energy,10,2930,chemistry,5
58792877-206f-4b1e-a2cd-4efb604c4b9e,teacher,1,5567,house,6
58792877-206f-4b1e-a2cd-4efb604c4b9e,forest,10,5637,park,7
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,air,4,14569,forest,0
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,cellulose,8,9520,hospital,1
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,chemistry,2,8040,water,2
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,branch,2,5403,photosynthesis,3
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,culture,5,5777,university,4
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,park,4,9303,bush,5
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,building,8,6634,roof,6
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,street,1,5226,teacher,7
aa36f67c-0f91-4c40-a982-5f013f9ba108,cellulose,1,12709,house,0
aa36f67c-0f91-4c40-a982-5f013f9ba108,branch,5,4716,roof,1
aa36f67c-0f91-4c40-a982-5f013f9ba108,energy,7,6308,bush,2
aa36f67c-0f91-4c40-a982-5f013f9ba108,school,10,2887,teacher,3
aa36f67c-0f91-4c40-a982-5f013f9ba108,forest,5,3003,university,4
aa36f67c-0f91-4c40-a982-5f013f9ba108,air,10,3481,plant,5
aa36f67c-0f91-4c40-a982-5f013f9ba108,gas,4,6293,hospital,6
aa36f67c-0f91-4c40-a982-5f013f9ba108,photosynthesis,2,3663,infrastructure,7
b694b68f-5443-45a9-8ac2-594df4682e1c,energy,7,11244,gas,0
b694b68f-5443-45a9-8ac2-594df4682e1c,tree,4,4178,bush,1
b694b68f-5443-45a9-8ac2-594df4682e1c,park,2,4436,university,2
b694b68f-5443-45a9-8ac2-594df4682e1c,hospital,2,3749,water,3
b694b68f-5443-45a9-8ac2-594df4682e1c,city,1,3096,plant,4
b694b68f-5443-45a9-8ac2-594df4682e1c,chemistry,1,3148,branch,5
b694b68f-5443-45a9-8ac2-594df4682e1c,forest,1,2312,roof,6
b694b68f-5443-45a9-8ac2-594df4682e1c,infrastructure,1,3002,mineral,7
44a04211-9b75-45b5-8b54-621102f07921,air,7,7619,tree,0
44a04211-9b75-45b5-8b54-621102f07921,street,4,5323,park,1
44a04211-9b75-45b5-8b54-621102f07921,forest,3,3538,building,2
44a04211-9b75-45b5-8b54-621102f07921,leaf,6,5586,school,3
44a04211-9b75-45b5-8b54-621102f07921,energy,4,3087,teacher,4
44a04211-9b75-45b5-8b54-621102f07921,bush,7,3358,branch,5
44a04211-9b75-45b5-8b54-621102f07921,hospital,5,3256,stone,6
44a04211-9b75-45b5-8b54-621102f07921,roof,6,3777,water,7
e354acef-6884-4fe7-b062-a3f080837239,wall,1,38579,street,0
e354acef-6884-4fe7-b062-a3f080837239,city,2,17117,teacher,1
e354acef-6884-4fe7-b062-a3f080837239,tree,3,7144,gas,2
e354acef-6884-4fe7-b062-a3f080837239,park,5,10928,hospital,3
e354acef-6884-4fe7-b062-a3f080837239,forest,8,5381,branch,4
e354acef-6884-4fe7-b062-a3f080837239,mineral,1,10839,school,5
e354acef-6884-4fe7-b062-a3f080837239,tree trunk,3,8988,air,6
e354acef-6884-4fe7-b062-a3f080837239,plant,4,4719,roof,7
9411b546-7d6e-48b1-a01a-3d955340f560,plant,3,6902,stone,0
9411b546-7d6e-48b1-a01a-3d955340f560,wall,10,5068,building,1
9411b546-7d6e-48b1-a01a-3d955340f560,water,10,3242,energy,2
9411b546-7d6e-48b1-a01a-3d955340f560,teacher,1,3771,gas,3
9411b546-7d6e-48b1-a01a-3d955340f560,cellulose,5,3532,infrastructure,4
9411b546-7d6e-48b1-a01a-3d955340f560,tree,10,1985,forest,5
9411b546-7d6e-48b1-a01a-3d955340f560,branch,10,3812,park,6
9411b546-7d6e-48b1-a01a-3d955340f560,air,10,3015,bush,7
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,roof,1,13510,park,0
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,chemistry,5,10005,city,1
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,cellulose,10,6299,branch,2
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,bush,3,4575,building,3
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,hospital,8,4805,photosynthesis,4
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,plant,10,2207,water,5
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,culture,2,7799,mineral,7
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,air,3,10380,teacher,6